nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"1-1-35, I-AVENUE",Medan Kampung Relau 1,Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],NO 37,Jalan Todak 6 Pusat Komersial Sunway Perdana,Seberang Jaya,Seberang Perai Tengah,Pulau Pinang,13700,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],52A,Lintang Angsana,Air Itam,Timur Laut,Pulau Pinang,11500,Borong & Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"5-G-3A, THE PROMENADE","Persiaran Mahsuri, Bandar Bayan Baru",Bayan Lepas,Barat Daya,Pulau Pinang,11950,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],Lot 311-G,Jalan Satok,Kuching,Kuching,Sarawak,93400,Borong & Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Sublot 11, Ground Floor, Premier 101 Commercial Centre",Jalan Tun Jugah,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Lot 1327, Ground Floor, Block 11",Muara Tebas Land District,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Ground Floor, S/L 96, Lot 6468, Block 225, KNLD, 63, Pusat Komersil Emart Batu Kawa",Jalan Batu Kawa,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Lot 2589, Ground Floor, Block 10, KCLD, 3rd Miles, Central Park Commercial Centre",Rock Road,Kuching,Kuching,Sarawak,93200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Lot 1952, Ground Floor, Block 233, KNLD, Cinmuk Commercial Centre, Kota Sentosa",Jalan Penrissen,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Ground Floor, Lot 2094, Block 16, KCLD",Hui Sing Commercial Centre,Kuching,Kuching,Sarawak,93200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"No. 298, Lorong 1A,  Lee Ling Commercial Centre",Jalan Matang,Kuching,Kuching,Sarawak,93050,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD,NO 36,Jalan Kesang,Jasin,Jasin,Melaka,77000,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd,No.112,Jalan Munshi Abdullah,Melaka,Melaka Tengah,Melaka,75100,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Alpro Pharmacy],22,"Jalan 2A/27A, Seksyen 1, Wangsa Maju",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53300,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],57 & 58,Jalan Seri Putra 1/4 Bandar Seri Putra,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],15,Jalan SG 1/6 Taman Sri Gombak,Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],No. 167 Ground Floor,Jalan 8/1 Seksyen 8,Bandar Baru Bangi,Hulu Langat,Selangor,43650,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"No. G5, Block Orkid 3,","Jalan Murni 2, Taman Malim Jaya",Melaka,Melaka Tengah,Melaka,75250,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"29-13 & 29-15,","Jalan Pesta 1/2, Taman Tun Dr. Ismail",Muar,Muar,Johor,84000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"No. 20, Jalan Bayan,",Taman Sembrong Barat,Yong Peng,Batu Pahat,Johor,83700,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],NO 37,"Jalan Melaka Baru 22, Taman Melaka Baru",Batu Berendam,Melaka Tengah,Melaka,75350,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],No 15-G,Jalan Dinar G U13/g Taman Subang Perdana Seksyen U3,Shah Alam,Petaling,Selangor,40150,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],25-G,"Jalan Padi Ria, Bandar Baru Uda",Tampoi,Johor Bahru,Johor,81200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],NO 316,"Jalan Melaka Raya 1, Taman Melaka Raya",Melaka,Melaka Tengah,Melaka,75000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],NO.15,"Jalan Medan Kamunting 1, Medan Kamunting",Kamunting,"Larut, Matang & Selama",Perak,34600,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],"No 238-G, Tingkat Bawah","Jalan Sungai Bertek, Teluk Pulai",Klang,Klang,Selangor,41100,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],No 61,Jalan Anggerik Vanilla N 31/N Kota Kemuning Seksyen 31,Shah Alam,Petaling,Selangor,40460,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],No 1,Jalan ST 1C/5 Medan 88,Bandar Baru Salak Tinggi,Sepang,Selangor,43900,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],NO.14,"Jalan Suria 2, Bandar Seri Alam",Masai,Johor Bahru,Johor,81750,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],No.1088 (Ground floor),Jalan 17/29 Seksyen 17,Petaling Jaya,Petaling,Selangor,46400,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],No 10 (Ground Floor),"Jalan 2/8, Bandar Baru Selayang",Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
Alpro Alliance Sdn Bhd [Farmasi Alpro],26G,Jalan  Puteri 1/2,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],102-GROUND FLOOR,"Jalan Rimbunan Raya, Laman Rimbunan, Kepong",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52100,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],NO 97 & 98,Jalan Gurney,Bahau,Jempol,Negeri Sembilan,72100,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD.,No 2874,Jalan Besar Masjid Tanah,Masjid Tanah,Alor Gajah,Melaka,78300,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO 7,Jalan Terentang,Rembau,Rembau,Negeri Sembilan,71300,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],PT 11400 & PT 11401,"Jalan Bbn 6/2 B, Taman Desa Cempaka",Nilai,Seremban,Negeri Sembilan,71800,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],3383,"Jalan Rj 6/1, Taman Rasah Jaya",Seremban,Seremban,Negeri Sembilan,70300,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"126-G, Taipan Senawang",Jalan  Komersial Senawang 1,Seremban,Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO 6,Jalan Mahkamah,Gemas,Tampin,Negeri Sembilan,73400,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],130,Jalan Yam Tuan Raden,Kuala Pilah,Kuala Pilah,Negeri Sembilan,72000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO. 99,Jalan Gurney,Bahau,Jempol,Negeri Sembilan,72100,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],No. 12-G,Jalan Dato' Sheikh Ahmad,Seremban,Seremban,Negeri Sembilan,70000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO 2,"Jalan Mahajaya, PD Centre Point",Port Dickson,Port Dickson,Negeri Sembilan,71000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO. 1173,Jalan Rasah,Seremban,Seremban,Negeri Sembilan,70300,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO. 35 & 36,Jalan Dato Bandar Tunggal,Seremban,Seremban,Negeri Sembilan,70000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 17, Bangunan Uda",Bandar Baru Ampangan,Seremban,Seremban,Negeri Sembilan,70400,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],30 & 30A,"Jalan Flora Utama 4, Taman Flora Utama",Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO 2 & 4,"Jalan Maju Timur, Taman Maju",Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],No.3,"Susur Jalan Kluang, Pusat Perniagaan Parit Raja",Parit Raja,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],No. 7,Jalan Manggis,Kluang,Kluang,Johor,86000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"Lot 2-4, Jalan Kasih",Taman Kasih,Simpang Renggam,Kluang,Johor,86200,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"No G15, Ground Floor, Watex Parade",Jalan Ali,Muar,Muar,Johor,84000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],No. 6,"Jalan Sri Permaisuri 9, Bandar Sri Permaisuri",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],No. 10,"Jalan Intan 2/2, Taman Intan",Kluang,Kluang,Johor,86000,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],NO. 19,Jalan Dato' Abdullah,Kuala Klawang,Jelebu,Negeri Sembilan,71600,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"No. 10-G,",Pasar Lukut,Lukut,Port Dickson,Negeri Sembilan,71010,Runcit,2020/12/31 00:00:00.000
ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 17 & 19, GROUND FLOOR,",Jalan Tan Sri Manickavasagam (Jalan Lobak),Seremban,Seremban,Negeri Sembilan,70200,Runcit,2020/12/31 00:00:00.000
ALPRO OPPS SDN. BHD. [FARMASI ALPRO],NO 62,Jalan Besar,Mantin,Seremban,Negeri Sembilan,71700,Runcit,2020/12/31 00:00:00.000
ALPRO PHARMACY (SEREMBAN) SDN. BHD. [FARMASI ALPRO],NO 9-12,"Jalan Waterfront 3, TF-Value Mart, Pd Waterfront",Port Dickson,Port Dickson,Negeri Sembilan,71000,Runcit,2020/12/31 00:00:00.000
ALPRO PHARMACY (SIKAMAT) SDN. BHD. [FARMASI ALPRO],471,"Jalan Sri Pulai 26, Taman Sri Pulai 2",Seremban,Seremban,Negeri Sembilan,70400,Runcit,2020/12/31 00:00:00.000
ALPRO PHARMACY (SIKAMAT) SDN. BHD. [FARMASI ALPRO],No 32,"Jalan S2 F1, Garden Homes, Seremban 2",Seremban,Seremban,Negeri Sembilan,70300,Runcit,2020/12/31 00:00:00.000
ALPRO PHARMACY (TAMPIN) SDN. BHD. [FARMASI ALPRO],No 21 & 22,Jalan Besar,Tampin,Tampin,Negeri Sembilan,73000,Runcit,2020/12/31 00:00:00.000
ALPRO PHARMACY (TELUK KEMANG) SDN. BHD. [FARMASI ALPRO],19G,"Jalan PDS 1, PD Sunggala Gateway",Si Rusa,Port Dickson,Negeri Sembilan,71050,Runcit,2020/12/31 00:00:00.000
ALPRO PHARMACY SDN. BHD. [FARMASI ALPRO],"G4 & G5, Ground Floor Regina Mall, Port Dickson",Jalan Pantai,Port Dickson,Port Dickson,Negeri Sembilan,71000,Runcit,2020/12/31 00:00:00.000
ALPROEAN ALPHA SDN. BHD. [FARMASI ALPRO],NO 35 GF,"Jalan S2 B18, Biz Avenue, Seremban 2",Seremban,Seremban,Negeri Sembilan,70300,Runcit,2020/12/31 00:00:00.000
ALSYIFAA FARMASI (MUADZAM SHAH) SDN BHD [ALSYIFAA FARMASI],MM 28,Medan Mewah,Muadzam Shah,Rompin,Pahang,26700,Runcit,2020/12/31 00:00:00.000
ALSYIFAA FARMASI (PEKAN) SDN BHD [ALSYIFAA FARMASI],"No 58, Tingkat Bawah, Seksyen 7",Jalan Sultan Abdullah,Pekan,Pekan,Pahang,26600,Runcit,2020/12/31 00:00:00.000
ALSYIFAA FARMASI JERANTUT SDN BHD [ALSYIFAA FARMASI],No 68,Jalan Zapin Indah Utama,"Bandar Inderapura, Jerantut",Jerantut,Pahang,27000,Runcit,2020/12/31 00:00:00.000
ALTIS JENIANG RESOURCES [ALTIS MEDICARE],"140-A1 , LOT 4198",Pekan Jeniang,Gurun,Kuala Muda,Kedah,08700,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.3,"Jalan Serampang, Taman Sri Tebrau",Johor Bahru,Johor Bahru,Johor,80050,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,"No.505, Tingkat Bawah",Jalan Mersing-Kluang,Kluang,Kluang,Johor,86000,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,"No.1, Tingkat Bawah, Jalan Mega, Pusat Perdagangan Mega",Jalan Sakeh,Muar,Muar,Johor,84000,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,NO.4 Tingkat Bawah,"Jalan Perniagaan 1, Taman Pusat Perniagaan Kg. Tengah, Sungai Abong",Muar,Muar,Johor,84000,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,NO.76,"Jalan Kempas 2, Taman Desaru Utama",Bandar Penawar,Kota Tinggi,Johor,81930,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,4 Tingkat Bawah,"Jalan Perniagaan 1, Pusat Perniagaan Mas Jaya, Jalan Salleh",Muar,Muar,Johor,84000,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.38,"Jalan Tanjong, Taman Tangkak Jaya",Tangkak,Tangkak,Johor,84900,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.14,"Jalan Gaya 28, Taman Gaya",Ulu Tiram,Johor Bahru,Johor,81800,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.11-G,"Jalan Bestari 1/2, Taman Nusa Bestari",Iskandar Puteri,Johor Bahru,Johor,79150,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,"Lot No 5, Ground Floor & 1st Floor, Lorong Mawas 1, Taman Foh Sang, Luyang",Jalan Mawas,Kota Kinabalu,Kota Kinabalu,Sabah,88300,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.143,"Jalan Harimau, Taman Abad",Johor Bahru,Johor Bahru,Johor,80250,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,"Lot 6 & 7, Ground Floor, Lido Square, Mile 3, Taman Che Mei",Jalan Penampang,Kota Kinabalu,Kota Kinabalu,Sabah,88300,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.4,"Jalan Kebudayaan 6, Taman Universiti",Skudai,Johor Bahru,Johor,81300,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.18,"Jalan Susur Perdana Tengah, Taman Bukit Perdana 2",Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.15,Jalan Perak,Georgetown,Timur Laut,Pulau Pinang,10150,Borong & Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.65,"Jalan Sagu 10, Taman Daya",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No.23,"Jalan Suria 3, Bandar Seri Alam",Masai,Johor Bahru,Johor,81750,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,421 & 423,Jalan Burma,Georgetown,Timur Laut,Pulau Pinang,10050,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No. 23,"Jalan Setia 3/2A, Taman Setia Indah",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,No 11,"Jalan Beladau 17, Taman Puteri Wangsa",Ulu Tiram,Johor Bahru,Johor,81800,Runcit,2020/12/31 00:00:00.000
AM PM PHARMACY SDN BHD,NO. 5410,"Jalan Kenari 18, Bandar Putra",Kulai,Kulai,Johor,81000,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 1,"Jalan Kenanga 29/1, Bandar Indahpura",Kulai,Kulai,Johor,81000,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 50,"Jalan Indah 8/15, Taman Bukit Indah",Tampoi,Johor Bahru,Johor,81200,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,23G,"Jalan Austin Heights 8/8, Taman Mount Austin",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,65,"Jalan Sagu 10, Taman Daya",Johor Bahru,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 77,"Jalan Sutera 1, Taman Sentosa",Johor Bahru,Johor Bahru,Johor,80150,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 103,"Jalan Dedap 4, Taman Johor Jaya",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,12,"Jalan Nakhoda 12, Taman Ungku Tun Aminah",Skudai,Johor Bahru,Johor,81300,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 12-01,"Jalan Nusaria 11/7, Taman Nusantara",Iskandar Puteri,Johor Bahru,Johor,79200,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 28,"Jalan Camar 1, Taman Perling",Tampoi,Johor Bahru,Johor,81200,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 5,"Jalan Permas 10, Bandar Baru Permas Jaya",Masai,Johor Bahru,Johor,81750,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 32 & 34,"Jalan Kundang 3, Taman Bukit Pasir",Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 17 & 17A,"Jalan Pandan Jaya 1, Taman Pandan Jaya 1",Rengit,Batu Pahat,Johor,83100,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,No. 11,"Jalan Seluang, Taman Banang",Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,"Lot F1.25, Aeon Big Batu Pahat Shopping Complex, 1B","Jalan Persiaran Flora Utama, Taman Flora Utama",Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,Lot 571,Jalan Johor,Ayer Hitam,Kluang,Johor,86100,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,49,"Jalan Intan 2/1, Taman Intan",Kluang,Kluang,Johor,86000,Runcit,2020/12/31 00:00:00.000
AM PM Pharmacy Sdn. Bhd.,19,"Jalan Anggerik 1, Taman Kulai Utama",Kulai,Kulai,Johor,81000,Runcit,2020/12/31 00:00:00.000
Amal Medik Sdn Bhd [FARMASI AMALMEDIK],"PT233, NO. 140, Bangunan Sutera Inn",Jalan Dusun Muda,Kota Bharu,Kota Bharu,Kelantan,15200,Borong & Runcit,2020/12/31 00:00:00.000
Amal Medik Sdn Bhd [FARMASI AMALMEDIK],PT 3125,Bandar Baru Pasir Pekan,Wakaf Bharu,Tumpat,Kelantan,16250,Runcit,2020/12/31 00:00:00.000
AMAN PHARMA CARE,"15, PUSAT BANDAR BERTAM PERDANA",Jalan Dagangan 10,Kepala Batas,Seberang Perai Utara,Pulau Pinang,13200,Runcit,2020/12/31 00:00:00.000
AMAN PHARMA CARE ,NO 4,"Taman Vistana Indah, Jalan Langgar",Alor Setar,Kota Setar,Kedah,06500,Runcit,2020/12/31 00:00:00.000
Amazinglife Pharmacy Sdn. Bhd. [Georgetown Pharmacy],No. 25,"Jalan Kompleks Jitra 2/1, Kompleks Perniagaan Jitra 2",Jitra,Kubang Pasu,Kedah,06000,Runcit,2020/12/31 00:00:00.000
Amazon Healthcare Supply Sdn Bhd [AA Pharmacy],17-G,Jalan Dinar G U3/G Taman Subang Perdana Seksyen U3,Shah Alam,Petaling,Selangor,40150,Runcit,2020/12/31 00:00:00.000
Amber Pharmacy Sdn Bhd,"DG-32 Medalla@Oasis Corporate Park Oasis Damansara, No 2",Jalan PJU 1A/2 Ara Damansara,Petaling Jaya,Petaling,Selangor,47301,Runcit,2020/12/31 00:00:00.000
Amber Pharmacy Sdn. Bhd.,"Lot 33, Anjung Neighbourhood Centre, No. 5",Persiaran Ledang Heights,Iskandar Puteri,Johor Bahru,Johor,79250,Runcit,2020/12/31 00:00:00.000
AMC Pharma Sdn Bhd [FARMASI AMC Pharma Sdn Bhd],PT 5075,Kompleks Perniagaan Saidina Ali,Kok Lanas,Kota Bharu,Kelantan,16450,Borong & Runcit,2020/12/31 00:00:00.000
AMCAL PHARMACY SDN BHD,"Lot 3031, Ground Floor, Morsjaya Commercial Centre",Miri-Bintulu Road,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
AMLIFE PHARMACY,No. 31,Jalan Channel,Sibu,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
AMMAR MEDICARE [FARMASI AMMAR MEDICARE],"LOT 3307, TINGKAT BAWAH, WISMA R&R",Jalan Seberang Jerteh,Jerteh,Besut,Terengganu,22000,Runcit,2020/12/31 00:00:00.000
AMN Health [Farmasi Segamat],No. 34,"Jalan Genuang Perdana, Taman Genuang Perdana",Segamat,Segamat,Johor,85000,Borong & Runcit,2020/12/31 00:00:00.000
AMNIS RX MEDICARE [FARMASI KELADI],368,Lorong Angsana 1 Taman Keladi,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
AND TUNJANG ENTERPRISE [FARMASI AND],17A,PEKAN TUNJANG,Jitra,Kubang Pasu,Kedah,06000,Runcit,2020/12/31 00:00:00.000
Andalusia Pharmacy Sdn. Bhd.,"Ground Floor, No. 11","Jalan 1/76, Jalan Kampung Pandan, Desa Pandan",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
ANEES PHARMACY,"A45, Ground Floor",Jalan Kurnia Jaya 3,Kuantan,Kuantan,Pahang,25150,Runcit,2020/12/31 00:00:00.000
Anis Pharmacy Sdn Bhd,15-1,Jalan Cecawi 6/19B Kota Damansara,Petaling Jaya,Petaling,Selangor,47810,Runcit,2020/12/31 00:00:00.000
Anis Pharmacy Sdn Bhd [Farmasi Anis],No 26,Jalan Nelayan 19/B Seksyen 19,Shah Alam,Petaling,Selangor,40300,Runcit,2020/12/31 00:00:00.000
Anis Pharmacy Sdn Bhd [Farmasi Anis],No 15G Blok B,Jalan 18/35 Taman Sri Serdang,Seri Kembangan,Hulu Langat,Selangor,43300,Runcit,2020/12/31 00:00:00.000
ANN-CARE PHARMACY SDN. BHD. [MULTICARE PHARMACY],381GF,Jalan Tan Sri Manickavasagam (Jalan Lobak),Seremban,Seremban,Negeri Sembilan,70200,Runcit,2020/12/31 00:00:00.000
ANNIE PHARMACY PLT,"Ground Floor, No 21, Maong Bazaar, 3rd Mile",Rock Road,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
ANTARES PHARMA (SARATOK) SDN BHD [TING PHARMACY],"Lot 93, Ground Floor",Saratok Bazaar,Saratok,Saratok,Sarawak,95400,Runcit,2020/12/31 00:00:00.000
ANTARES PHARMA (SRI AMAN) SDN BHD [TING PHARMACY],"Lot 828, Block 3, Kpg Tengah",Simanggang Town District,Sri Aman,Sri Aman,Sarawak,95000,Runcit,2020/12/31 00:00:00.000
ANTARES PHARMA SDN BHD [TING PHARMACY],"Ground Floor, No. 23, Lot 101, Block 233, 7th Mile Bazaar",Jalan Penrissen,Kuching,Kuching,Sarawak,93250,Borong & Runcit,2020/12/31 00:00:00.000
ANTARES PHARMA SDN BHD [TING PHARMACY],"Ground Floor, Lot 533, Block 71",KCLD,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
APEX RETAIL SDN BHD,83-A,Jalan Munshi Abdullah,Melaka,Melaka Tengah,Melaka,75100,Runcit,2020/12/31 00:00:00.000
APM Pharmacy Sdn Bhd,"85, jalan baiduri",Taman Daiman Jaya,Kota Tinggi,Kota Tinggi,Johor,81900,Borong & Runcit,2020/12/31 00:00:00.000
Apocare Pharmacy Sdn Bhd [Apocare Pharmacy],No 19,Jalan 1B Batu 17 Taman Jati,Rawang,Gombak,Selangor,48000,Runcit,2020/12/31 00:00:00.000
Apoteka,"No.146, Tanjung Aru",Jalan Mat Salleh,Kota Kinabalu,Kota Kinabalu,Sabah,88100,Runcit,2020/12/31 00:00:00.000
